Account UUID,Billing Account Name,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
74b88f60-d469-0134-5a47-0242ac112c08,Clique Media Group,0.0,2.0,-2.0,2.0
5ed65791-51dc-4ee3-9114-e06011e2593d,上海茏谷房地产顾问有限公司,-2.0,0.0,-2.0,2.0
5bf13100-0171-0136-f3bb-0242ac115709,"Atkins North America, Inc.",1.0,9.0,-8.0,8.0
444bdcb0-efa4-0134-e4af-0242ac115504,HB Avocat,-1.0,0.0,-1.0,1.0
e327c4ce-58b7-4d31-bb75-0e1d725fd21c,Darwin Ecosystem LLC,-12.0,0.0,-12.0,12.0
,,3373.0,0.0,3373.0,3373.0
4da31342-8520-4d94-ab65-bb69220491cf,Mintel Pesquisa de Mercado Brasil Ltda,0.0,8.0,-8.0,8.0
2709d217-67c4-4a21-8fe0-30d436161624,Microsoft,11.0,64.0,-53.0,53.0
f29cd82c-444d-4675-ad9a-75d104d2961e,Legalarmy,2.0,3.0,-1.0,1.0
a4e2b310-d073-0130-7a4f-123138191d41,Impact Mobile USA Inc.,-3.0,0.0,-3.0,3.0
8d554c7b-c124-458d-8685-b5030396bf55,시드젠(주),1.0,0.0,1.0,1.0
