uuid_c,Sf Net Desk Change
875538db-f27d-4d23-9fde-16cddd98197d,0.0
a8fe0a4d-0eb8-4fc0-80a4-2409806e8db6,1.0
3ae13536-80b1-40f2-a279-28eb56a363a4,1.0
bec5b1b0-71af-0136-1509-0242ac114a0c,3.0
b25dde00-8dea-0136-44bc-0242ac11210a,1.0
1b07419b-039a-4da9-827b-5857596f09e5,1.0
00d8ffb0-24dc-0136-407c-0242ac115709,0.0
d2a7e7bb-26ac-4303-ac77-2c7a4f59a45b,1.0
590e6b9b-d4aa-4509-bf32-00d71f45f143,1.0
93878903-4f9b-48a8-a803-4e1c1458b666,1.0
213d1950-f998-0134-8d9b-0242ac110906,2.0
904a4c55-a9db-4771-8804-8b9c38ef61f0,1.0
ae6ca9b0-3f20-0136-59c2-0242ac114a06,5.0
7c27efa4-a1df-46d2-93de-3e54807f2d81,4.0
aa555e50-871f-0136-0962-0242ac111c0f,4.0
83f8d61b-5c9f-47e1-8280-1aa9c206d16c,1.0
484a3ec6-7e01-45cd-8d26-24815e03149e,0.0
2d4fc854-e29d-48f6-b881-1bdee7d101e8,1.0
3675bbb0-884e-0136-0bd4-0242ac111c0f,2.0
8c2e5414-825b-4e32-a47f-e60f7d023230,0.0
73db32bf-4d3a-47c6-acde-b12da71425e4,0.0
859be565-fc40-4dcd-8bd7-bacc5937ab2b,13.0
45c15d15-da81-46eb-bb66-d54392650860,1.0
a01443a4-4ca7-48f2-80b5-4f33fca946d7,1.0
e63980d0-7dd4-0136-2c7b-0242ac11510b,1.0
eaa8a190-8e49-0136-2710-0242ac114a0f,1.0
5b6d1ad0-170b-0135-7116-0242ac11090c,1.0
90134996-9144-484d-ae42-200750595ff0,1.0
c8c69406-7846-4ceb-840f-30ed09f84553,4.0
27c48370-7d87-0136-8057-0242ac112112,1.0
ffc5c780-73ff-0136-fce8-0242ac11720b,2.0
14a5202e-f1fd-443b-9e57-079d2be855a6,1.0
d2356a50-5059-0136-dcdb-0242ac111c08,1.0
f8cffe50-661b-0136-e88c-0242ac111508,9.0
7b62e6b2-d59f-4cfc-b285-e8987a59d8e0,1.0
33c1b640-8a07-0136-026b-0242ac115706,13.0
2b5ce66d-ca43-478f-a5b7-961f2311ced3,-4.0
f4ea4ac0-9bf1-4659-b891-be413350bba7,1.0
edf4ddb0-731a-0136-d0ac-0242ac11670d,10.0
11b2fce3-551b-4138-b6f8-30b232f4d8df,1.0
43fdaca3-4b16-4b58-8eb6-b9d79fe10182,0.0
116f2eb0-db68-4260-ab30-7b1bb56f55c2,1.0
fb9c1dda-ebfa-4e29-ab0e-c85f0994fdb9,1.0
6ee7a111-16eb-41ea-acc6-a34a0488ecfd,1.0
92e8255a-0abc-419e-8122-41d8006f293d,1.0
b89db380-5ff3-0136-2b95-0242ac114a08,1.0
937be710-822c-0136-64b0-0242ac114a0f,1.0
e46b47c0-7ca4-0136-2a3a-0242ac11510b,1.0
ece21c82-ba9f-44c0-9510-29d6d88f9241,1.0
a4f779bc-dbbc-4c23-a198-9442f570e588,1.0
5708c790-c7e0-0135-86bf-0242ac11560a,0.0
4633cb40-8189-0136-6c73-0242ac117209,1.0
d8c07008-207b-4628-8e0b-5c3523fe5dab,12.0
aced7f79-06f6-4e68-bc4c-c24aad56e0a4,6.0
ce39c660-7cab-0136-2a44-0242ac11510b,2.0
5bf3dbe0-8c65-0136-996e-0242ac11720c,1.0
1c8d6386-1e01-4dfc-a0b7-08d4038637fb,6.0
693a6138-95db-4d63-885f-638a67f88228,0.0
d1143c14-2c88-4c5d-8cbf-7d6ff8ff5881,1.0
7132a660-7645-0136-09d5-0242ac115111,7.0
b052ebe3-d0bd-4217-a670-ead913bc0336,1.0
e03fcfb0-71da-0136-17ca-0242ac111507,0.0
cc900f60-14d4-0136-fdaf-0242ac115709,0.0
df97b0d0-3976-0134-a204-56617e4ecab1,7.0
4f4af10d-0f7d-4b58-87e4-317c42735f9e,1.0
52b49400-8141-0136-8602-0242ac116708,1.0
b694f81b-5e87-448a-bac4-8b2d2d7eb61a,1.0
ecf662b9-7533-4d74-bc57-99bbcfc74d99,1.0
36ef3363-5f14-4c06-8307-b775c057144f,0.0
d627c160-8a0c-0136-2060-0242ac114a0f,3.0
16778770-0692-4fd7-ad81-b73f5cddcd43,1.0
ea1621a0-523e-0135-3a89-0242ac11130b,87.0
d9208880-8fa2-0136-2adf-0242ac114a0f,3.0
1336dc60-7cea-4b55-8020-4b68d1dce8de,1.0
7460a273-82b8-42dd-9205-ba967c3d47c8,1.0
db33aaa2-cca5-4845-90fe-d1d114b76ae7,1.0
664f7690-b85d-0135-6c4d-0242ac112c0c,1.0
7993c2b6-ccaa-4be1-ab20-a2d36730336b,-4.0
d60150a0-273b-0134-0897-5ac825595115,2.0
2d2510c6-60cb-4de3-9953-85e243fe8e9a,1.0
4f1c9e66-dd58-4316-b9f2-4be1c8e0ad11,1.0
03f5f5d4-ff34-46a6-84dc-cbf57d876abb,2.0
f83fe670-816c-0136-6c46-0242ac117209,6.0
1802c563-4331-46eb-b4f2-a8c613174ca7,0.0
b6727064-1303-4764-bea3-36c7684e4e42,3.0
86879410-81fe-0136-63ca-0242ac114a0f,1.0
93f3c182-0461-4d67-8f77-0bc0e726e2dd,1.0
5edda77e-7465-401d-8221-6b03feb157c3,0.0
b11b50f0-ec3d-418f-8437-cf33cc660483,0.0
91e8b17c-7b27-4e8a-ae3e-e5e4523f4793,1.0
df66f6ed-5d4f-4e0d-9de1-2ce46eb188fb,1.0
d23285c4-7bc7-462b-b274-1ed8b143ea02,1.0
8f82ffb0-0925-0136-c09a-0242ac116708,6.0
cdc6affa-2406-4fd0-9b69-82ebea69a68a,1.0
042f4c00-82cd-0136-a2b2-0242ac116712,153.0
1e2f2d8c-3ffe-4563-9ed9-385abc61ec43,2.0
883b7803-7b0f-4e98-9a6d-0f3545a6254a,0.0
3791a030-635f-0136-e106-0242ac112c0d,1.0
36285c56-d0e3-49c7-8034-b0ddbb689f29,1.0
cc6d355e-fec6-428b-b1d7-6ce1048d2117,-2.0
b9b69aa0-63d6-0134-0476-4a35698d4883,4.0
1f1e8010-8f12-0136-28df-0242ac114a0f,5.0
cc26a920-78f4-0136-7869-0242ac112112,3.0
dd2a22be-32ac-4f22-87b0-78374eb15628,277.0
85255820-89ce-0136-78c0-0242ac11670d,11.0
6d0883b2-7f96-453a-8877-23300a1716e4,1.0
bdfb1050-545d-0135-ffef-0242ac112607,-3.0
e612d25e-284b-4260-b90d-a7201410552e,2.0
e715a810-5e79-0134-c673-4659aec0da7b,9.0
e0f16fe1-090d-4203-858c-b1e1d3ba3db8,0.0
d40db3bc-3cbc-4659-89e9-0cecc9b68695,1.0
84dffd10-46d6-0134-dace-5aa7024f3a22,1.0
541d1b20-8ec2-0136-467b-0242ac11210a,4.0
55d72460-85f3-0136-686c-0242ac114a0f,232.0
69c676fe-9423-47d8-bd2e-2a957de0a6e8,1.0
70ffbcb0-161b-45c1-adcf-34a63d410abc,2.0
9188db02-8eb7-48b6-870b-6a3c62f76c63,1.0
61861320-89ec-0136-7929-0242ac11670d,2.0
8b706a2a-6d45-4ab0-9f00-6246c259bb17,1.0
16d005af-69ce-4762-a2ed-5ceb6635b233,1.0
fc374d93-ddb1-4a49-88c9-2e0090f604de,1.0
61c36589-0b62-43e2-979e-e8b433b38387,3.0
3216bb2e-82af-4d3b-b02d-d78e22ebb74b,2.0
dcb6b815-b1cb-48af-bdba-b75082f43bcb,1.0
d724078d-84d1-49ba-90d6-f5eba445b7ca,1.0
d26df410-5794-0136-4f65-0242ac11210b,1.0
784ebdb9-c142-48a8-aad5-47c886856551,1.0
ecc13df3-a6be-459b-9c78-77636cc15ff7,1.0
b44cc13e-9887-457d-943a-c001b4612362,1.0
3e46b2d0-2f4f-0136-3ae9-0242ac115108,6.0
7ba61e00-d060-0134-9d03-0242ac112c0a,1.0
f24aa22a-a4cc-441d-a7f8-e8ef699954e7,1.0
2b3cbffb-d9df-4d19-9df8-d3b8543d2cb4,-1.0
4366fc60-6579-0136-2027-0242ac115709,1.0
d1e20e1b-22d6-467a-b6d4-2f86bce951cc,1.0
f1f492a0-3871-0133-37e2-6ee9ddd11434,4.0
287a47a2-2438-42e3-bf41-5742bf05f2f3,0.0
c939fee0-869c-0136-a5e8-0242ac116712,1.0
9e482390-8df1-0136-2681-0242ac114a0f,31.0
92a5b3d0-8df6-0136-08c1-0242ac115706,1.0
6dd9f9a0-c20a-4146-84d7-1e24b6112e29,1.0
18b82490-ec95-0135-0048-0242ac112c09,6.0
8b0e418b-7748-400b-a7ba-b786934940e5,1.0
4533d39c-48d8-4ac5-a106-0fb1ea90b935,3.0
c0fe0990-66a9-0136-95a1-0242ac11150d,1.0
33030ad1-2c60-4111-8cee-a6bb1d85b3dc,1.0
