Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
0cb16880-0359-0134-525b-268f6e1dab66,1.0,0.0,1.0,1.0
06153439-00f7-456f-85b3-bda068727aeb,1.0,0.0,1.0,1.0
22a592c5-0ce9-45e5-8051-01392b841c02,1.0,0.0,1.0,1.0
f7318650-7d3c-4a8d-bdb0-59e8b744c2c0,1.0,0.0,1.0,1.0
d511dc6d-6e3a-498c-aec9-f19fa0dc30aa,1.0,0.0,1.0,1.0
d1ad071c-a2c6-472e-895d-2d44f3c2ecf7,1.0,0.0,1.0,1.0
4750b312-d93d-4198-be40-46ce402947c3,7.0,0.0,7.0,7.0
bd0d4522-7133-419e-877e-cec83f81c8f9,1.0,0.0,1.0,1.0
3d9fe26e-d3b3-471a-981e-46287572da9f,1.0,0.0,1.0,1.0
50560c0e-5e0d-4086-9855-d6a927c90832,1.0,0.0,1.0,1.0
873b7c70-fa79-4287-bad9-ccf4e1c60641,1.0,0.0,1.0,1.0
a84045dc-b862-43f1-b4a0-fc814e7c1455,2.0,0.0,2.0,2.0
b2e78e0a-16c4-4da1-ba87-8ec403717fc1,51.0,0.0,51.0,51.0
53e0cba0-9333-0135-46bc-0242ac112c08,1.0,0.0,1.0,1.0
0a277c10-9c6a-0135-3c8e-0242ac116712,8.0,0.0,8.0,8.0
13de1950-2d9f-478c-9bda-007f73b5d99c,6.0,5.0,1.0,1.0
fd690cdf-061c-42f2-8340-03c122fd0edb,1.0,0.0,1.0,1.0
e8f243da-159a-416c-bd2c-d90c44179ec3,1.0,0.0,1.0,1.0
a6493580-bb07-0135-6efd-0242ac112c0c,1.0,0.0,1.0,1.0
8fc46000-448e-0135-a703-0242ac115b0e,7.0,3.0,4.0,4.0
f1b4b632-d3b6-44fb-b006-2843fce23c0d,2.0,0.0,2.0,2.0
f69ea400-3842-41b5-9d85-f99c385ede5e,2.0,1.0,1.0,1.0
22d26b10-1612-0136-af68-0242ac112111,1.0,0.0,1.0,1.0
d256e790-e4a5-0134-a191-0242ac112c0c,11.0,0.0,11.0,11.0
c219ae6c-40d6-4693-ad22-0926afe82394,3.0,2.0,1.0,1.0
c22b011b-1f4f-4b2d-8814-fdcc325b7a83,1.0,0.0,1.0,1.0
c770a460-2839-0135-0d16-0242ac11130b,27.0,11.0,16.0,16.0
87579212-2760-4cba-8263-3b736f0e0874,1.0,0.0,1.0,1.0
81a75bb1-6b34-4d15-ad4f-9086e687d287,1.0,0.0,1.0,1.0
35ebb0a8-c54e-453f-bcbd-79777a12ec3e,7.0,15.0,-8.0,8.0
9cfc1f60-4528-0136-7fa8-0242ac114a0f,1.0,0.0,1.0,1.0
dc0eb44e-693b-49ab-9b86-70e1181613cb,12.0,0.0,12.0,12.0
60eb3805-cc2c-412b-9af4-5833de58c0c4,7.0,0.0,7.0,7.0
18dc3474-2ece-4e6b-868f-dcf5eb40e35e,1.0,0.0,1.0,1.0
be52087c-6557-4715-be42-33833d0ca6c2,1.0,0.0,1.0,1.0
06767034-26d5-4a90-9f1d-fb63f553b1de,1.0,0.0,1.0,1.0
fe972150-4932-0135-89e2-0242ac113a10,6.0,1.0,5.0,5.0
c7524020-9129-0135-d13b-0242ac116708,1.0,0.0,1.0,1.0
4224a5c3-d4e4-4326-ab4d-4fe59170be57,0.0,4.0,-4.0,4.0
e40d8d58-dfd4-4c55-9a39-a68ca65f692d,1.0,0.0,1.0,1.0
18b6f2b8-7a05-4ee6-bd8c-1161b3400fd6,1.0,0.0,1.0,1.0
3d4fefb2-00ec-4555-85f1-3bbdd4b46382,2.0,0.0,2.0,2.0
e52ef452-39eb-49a9-af02-fd0efc6200f4,2.0,1.0,1.0,1.0
8624345e-c456-4fe7-9f4f-a6d45401d581,1.0,0.0,1.0,1.0
34d70cb7-12c7-43e0-a412-72f51cd0ce8f,8.0,0.0,8.0,8.0
e05f6e62-b22e-466d-8015-2afbf5303cc7,1.0,0.0,1.0,1.0
2709d217-67c4-4a21-8fe0-30d436161624,9.0,0.0,9.0,9.0
8c50c0c0-47d2-0136-cd7b-0242ac111c08,2.0,1.0,1.0,1.0
c7be9de3-6bcd-4766-85d4-f090f202cf56,1.0,10.0,-9.0,9.0
ea2f36e8-8da4-4e18-b4c6-cfb4f1552616,1.0,0.0,1.0,1.0
90065490-794d-4cd5-a3f5-9e3b0f48341c,12.0,6.0,6.0,6.0
2fb0bf11-9e2f-4ed6-bba4-8103b4337b06,1.0,0.0,1.0,1.0
793d2c6b-4be1-4ca0-bef2-0b286c441126,1.0,0.0,1.0,1.0
00ac0d30-4c96-0136-da64-0242ac112106,1.0,0.0,1.0,1.0
05bd3b38-d7be-4567-b07e-55cb427b1515,0.0,30.0,-30.0,30.0
6a253b9a-6427-43ea-8a08-057de8757a7e,1.0,0.0,1.0,1.0
1fed79fa-0897-4cc1-aa70-a7486ab9f3a8,4.0,3.0,1.0,1.0
14a214f6-3a3f-4be5-a5fe-8b1e409b2d59,1.0,0.0,1.0,1.0
b4d034e8-14a4-4b5c-82f1-fd50b74b20fe,0.0,2.0,-2.0,2.0
7f76977d-e4f7-47ea-ab61-dc556d9e4a8b,1.0,0.0,1.0,1.0
8145d5c0-5071-0135-4622-0242ac113d0c,1.0,0.0,1.0,1.0
5c52ea00-7f4d-0134-8a22-2e935648bcf4,4.0,5.0,-1.0,1.0
6831ebd0-459e-0136-903f-0242ac116709,1.0,0.0,1.0,1.0
3adf3d21-c78c-4dcd-8512-59b077ee1c84,31.0,18.0,13.0,13.0
64fab160-0070-4647-965c-795a6000f309,2.0,1.0,1.0,1.0
083e6bfe-ad7a-406f-8870-572c3ddb7891,1.0,0.0,1.0,1.0
b1b6bbb2-9c1c-4013-b208-c213d8ff7135,1.0,0.0,1.0,1.0
e6a05715-2c33-4c28-b871-d2ee4da3fd57,1.0,0.0,1.0,1.0
b3ac2e60-8aa7-0134-514e-1af6366eb87d,4.0,0.0,4.0,4.0
ea281adf-e835-4833-bbee-eb779f70e93f,1.0,0.0,1.0,1.0
147f9a0a-8a27-42e2-9afd-755213720975,2.0,1.0,1.0,1.0
6ea555d0-58ef-0134-e770-76e0331df7f7,2.0,4.0,-2.0,2.0
e0d017b4-61d0-4ca9-9cdd-467516a1f427,1.0,0.0,1.0,1.0
2101ade3-5316-4183-be7e-dc23e620b66b,1.0,0.0,1.0,1.0
7dd47b37-5527-40b5-8db7-4d92dabc8c08,1.0,0.0,1.0,1.0
b93c812d-e0e2-4efc-b1a3-8658d1635b6c,2.0,1.0,1.0,1.0
225f02f0-0ba8-0135-fc08-0242ac112c06,1.0,3.0,-2.0,2.0
1f82cc08-8c16-414d-a62c-cfa235a08f34,2.0,1.0,1.0,1.0
07bfc8b0-dbc2-0135-2091-0242ac11210d,1.0,0.0,1.0,1.0
b66a9646-9104-4708-966d-afc230bf43f2,1.0,0.0,1.0,1.0
d06bfa50-6b34-4b29-9dde-de206efff0ed,1.0,2.0,-1.0,1.0
2bacd9a0-455a-0136-e48e-0242ac115109,1.0,0.0,1.0,1.0
db1cf8fe-1c5c-45b7-983d-c32c1ecc181f,1.0,0.0,1.0,1.0
0ea2baee-9903-41f5-ad04-9c3a19f7b13f,1.0,0.0,1.0,1.0
d2320eb1-5287-4552-8a04-9fc530bd0bb3,1.0,0.0,1.0,1.0
7188c13a-7404-4e4e-88b5-4319565e4505,1.0,0.0,1.0,1.0
4b192c35-167b-4b00-8709-7d3155e17ec2,6.0,0.0,6.0,6.0
28e74bc0-460e-0136-8344-0242ac114a0f,1.0,0.0,1.0,1.0
