Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,membership_agreement_uuid
e4a996c5-a007-4b8c-a428-e17ee6a9e7a3,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e4a996c5-a007-4b8c-a428-e17ee6a9e7a3,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
7f02e8c5-a991-49cf-9ee7-5f5bacd1b0d3,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
de131fb3-5598-4d18-83ff-dd9374ef1309,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
28bc92d4-2b4e-4f59-a816-66af41f8637d,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
20f784e0-052b-4111-8f45-f14e71198142,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
e883699d-b683-4c91-9f26-44502ce5202d,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e883699d-b683-4c91-9f26-44502ce5202d,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e883699d-b683-4c91-9f26-44502ce5202d,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e883699d-b683-4c91-9f26-44502ce5202d,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e883699d-b683-4c91-9f26-44502ce5202d,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e883699d-b683-4c91-9f26-44502ce5202d,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e883699d-b683-4c91-9f26-44502ce5202d,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e883699d-b683-4c91-9f26-44502ce5202d,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e883699d-b683-4c91-9f26-44502ce5202d,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
28202570-4959-0136-7ed8-0242ac111506,1.0,0.0,1.0,1.0,Contract Sent,BuildingUUIDMatch,2d125f0d-be62-40fe-b321-128585750e69
28202570-4959-0136-7ed8-0242ac111506,1.0,0.0,1.0,1.0,Contract Sent,BuildingUUIDMatch,b1f42f57-6b29-445b-9b9e-788a7d73f20d
28202570-4959-0136-7ed8-0242ac111506,1.0,0.0,1.0,1.0,Contract Discarded,OpportunityFoundById,b1f42f57-6b29-445b-9b9e-788a7d73f20d
28202570-4959-0136-7ed8-0242ac111506,1.0,0.0,1.0,1.0,Contract Signed,OpportunityFoundById,2d125f0d-be62-40fe-b321-128585750e69
66745920-3550-0135-74fe-0242ac11130c,4.0,0.0,4.0,4.0,Contract Sent,MostRecentOpenOpportunity,94d45083-0ce0-4805-9bb5-9f39be9de7f6
66745920-3550-0135-74fe-0242ac11130c,4.0,0.0,4.0,4.0,Contract Signed,OpportunityFoundById,94d45083-0ce0-4805-9bb5-9f39be9de7f6
504b8fbf-444b-4249-a249-774c5342b846,1.0,3.0,-2.0,2.0,Contract Canceled,OpportunityFoundById,3e2adb21-3bf1-4270-b48d-466c86f809c3
504b8fbf-444b-4249-a249-774c5342b846,1.0,3.0,-2.0,2.0,Contract Signed,OpportunityFoundById,e417cb15-a6e6-47f8-b0c1-47991a15f15e
504b8fbf-444b-4249-a249-774c5342b846,1.0,3.0,-2.0,2.0,Contract Sent,NoReusableOpportunityFound,e417cb15-a6e6-47f8-b0c1-47991a15f15e
adce88cc-71e2-447d-a603-f4b1613cccfb,2.0,1.0,1.0,1.0,Contract Signed,OpportunityFoundById,e2adb768-3741-4d0c-853e-e4b586df4b18
adce88cc-71e2-447d-a603-f4b1613cccfb,2.0,1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
adce88cc-71e2-447d-a603-f4b1613cccfb,2.0,1.0,1.0,1.0,Contract Sent,NoReusableOpportunityFound,e2adb768-3741-4d0c-853e-e4b586df4b18
adce88cc-71e2-447d-a603-f4b1613cccfb,2.0,1.0,1.0,1.0,Contract Sent,OpportunityFoundById,b19b72e5-75ab-4807-b3cf-ea00f5378af4
adce88cc-71e2-447d-a603-f4b1613cccfb,2.0,1.0,1.0,1.0,Contract Sent,OpportunityFoundById,b19b72e5-75ab-4807-b3cf-ea00f5378af4
adce88cc-71e2-447d-a603-f4b1613cccfb,2.0,1.0,1.0,1.0,Contract Voided,OpportunityFoundById,b19b72e5-75ab-4807-b3cf-ea00f5378af4
