Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,ma_uuid,ma_created,sf_opportunity_id,reservation_uuid,reservation_created,reservation_started_on,reservation_ended_on,reservable
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Signed,OpportunityFoundById,cd2a0cc6-a465-4944-8d53-dcbbfe7b44cb,2018-07-03 14:43:02.802,MDA2MEcwMDAwMHZqb1lGUUFZ,b504dfcd-ad5e-4085-a101-2020752520fd,2018-07-03 19:35:42.065,2018-08-01,,LD - 50
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Signed,OpportunityFoundById,cd2a0cc6-a465-4944-8d53-dcbbfe7b44cb,2018-07-03 14:43:02.802,MDA2MEcwMDAwMHZqb1lGUUFZ,6fe1c45e-e470-4989-aa0f-d13b816a21e1,2018-07-03 19:35:41.693,2018-08-01,,LD - 49
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Signed,OpportunityFoundById,cd2a0cc6-a465-4944-8d53-dcbbfe7b44cb,2018-07-03 14:43:02.802,MDA2MEcwMDAwMHZqb1lGUUFZ,3d1584ca-ec56-4359-b63a-3f42b8e42256,2018-07-03 19:35:41.270,2018-08-01,,LD - 48
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Voided,OpportunityFoundById,,,,,,,,
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Sent,OpportunityFoundById,,,,,,,,
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Sent,OpportunityFoundById,cd2a0cc6-a465-4944-8d53-dcbbfe7b44cb,2018-07-03 14:43:02.802,MDA2MEcwMDAwMHZqb1lGUUFZ,021fde67-f7b3-409c-a733-b70f1f4d20a2,2018-07-03 19:35:42.476,2018-08-01,,LD - 51
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Sent,OpportunityFoundById,cd2a0cc6-a465-4944-8d53-dcbbfe7b44cb,2018-07-03 14:43:02.802,MDA2MEcwMDAwMHZqb1lGUUFZ,b504dfcd-ad5e-4085-a101-2020752520fd,2018-07-03 19:35:42.065,2018-08-01,,LD - 50
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Sent,OpportunityFoundById,cd2a0cc6-a465-4944-8d53-dcbbfe7b44cb,2018-07-03 14:43:02.802,MDA2MEcwMDAwMHZqb1lGUUFZ,6fe1c45e-e470-4989-aa0f-d13b816a21e1,2018-07-03 19:35:41.693,2018-08-01,,LD - 49
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Sent,OpportunityFoundById,cd2a0cc6-a465-4944-8d53-dcbbfe7b44cb,2018-07-03 14:43:02.802,MDA2MEcwMDAwMHZqb1lGUUFZ,3d1584ca-ec56-4359-b63a-3f42b8e42256,2018-07-03 19:35:41.270,2018-08-01,,LD - 48
b24e49e9-6126-4e38-83ef-c862718245d4,-1.0,0.0,-1.0,1.0,Contract Signed,OpportunityFoundById,,,,,,,,
e8b46cde-5743-44f7-bd14-2fefc7794927,1.0,0.0,1.0,1.0,Contract Signed,OpportunityFoundById,66ad4590-5bf2-464a-b65f-8ec18857ab69,2018-07-04 10:09:30.504,MDA2MEcwMDAwMHZqdE9SUUFZ,be56139f-2379-4a96-ae84-934806427f16,2018-07-04 10:31:26.204,2018-07-05,,HD173
e8b46cde-5743-44f7-bd14-2fefc7794927,1.0,0.0,1.0,1.0,Contract Sent,OpportunityFoundById,66ad4590-5bf2-464a-b65f-8ec18857ab69,2018-07-04 10:09:30.504,MDA2MEcwMDAwMHZqdE9SUUFZ,be56139f-2379-4a96-ae84-934806427f16,2018-07-04 10:31:26.204,2018-07-05,,HD173
9841bdf1-70d5-4050-b089-eee3d28fdae3,0.0,4.0,-4.0,4.0,Contract Sent,NoReusableOpportunityFound,4169d303-4ee8-4e75-bd08-753f98a57e6b,2018-07-02 16:43:15.742,MDA2MEcwMDAwMHZqbTBl,e89905e0-3ab8-4338-806d-6c9e5d6c4dec,2018-06-29 15:43:07.405,,2018-07-31,5.013
9841bdf1-70d5-4050-b089-eee3d28fdae3,0.0,4.0,-4.0,4.0,Contract Sent,NoReusableOpportunityFound,4169d303-4ee8-4e75-bd08-753f98a57e6b,2018-07-02 16:43:15.742,MDA2MEcwMDAwMHZqbTBl,7fecb1de-c881-4609-bb82-40601a55793a,2018-07-02 16:48:48.458,2018-08-01,,6.007
9841bdf1-70d5-4050-b089-eee3d28fdae3,0.0,4.0,-4.0,4.0,Contract Canceled,OpportunityFoundById,,,,,,,,
