Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
fa57b740-6014-0136-3fcd-0242ac11570b,0.0,1.0,-1.0,1.0
bc130200-e705-0135-2fe3-0242ac11210d,-1.0,0.0,-1.0,1.0
ff7593b0-2350-0136-a742-0242ac115605,-5.0,0.0,-5.0,5.0
173c42e0-1a9a-0136-4749-0242ac11510f,-1.0,0.0,-1.0,1.0
0637de80-e854-0135-4d3d-0242ac114a09,-2.0,0.0,-2.0,2.0
73fbbb43-5304-48fa-ba11-7c69dde44ab6,-2.0,0.0,-2.0,2.0
25288320-b3ee-0134-f52a-0242ac11350b,-4.0,0.0,-4.0,4.0
cf0b22b7-a417-4917-9aea-bf8ad6137983,4.0,0.0,4.0,4.0
cf0b22b7-a417-4917-9aea-bf8ad6137983,4.0,10.0,-6.0,6.0
0ddc8121-ec3f-44ab-a8a4-dd33845866f4,-2.0,0.0,-2.0,2.0
986741c0-19d8-0136-8b7b-0242ac115605,-2.0,0.0,-2.0,2.0
97155531-b415-433a-be18-cced2be33805,-1.0,0.0,-1.0,1.0
0f27c080-91e6-0134-3cdb-12be61353ea3,-1.0,0.0,-1.0,1.0
53903c0f-d790-4c98-845a-7a50f84411f3,-44.0,0.0,-44.0,44.0
f52e9a1c-5cb5-4d29-b725-1db51bfac781,-1.0,0.0,-1.0,1.0
69c35720-0e37-48ee-9f2e-3e77768801a5,-24.0,0.0,-24.0,24.0
6266d270-357d-0136-b946-0242ac116709,0.0,1.0,-1.0,1.0
6266d270-357d-0136-b946-0242ac116709,0.0,0.0,0.0,0.0
8ba38350-a871-0135-070e-0242ac116705,-1.0,0.0,-1.0,1.0
8edd8c90-a1bd-0135-d334-0242ac116706,-4.0,1.0,-5.0,5.0
8ee1cb1c-6e17-430f-b307-6ff835bf2a96,-1.0,0.0,-1.0,1.0
8ee1cb1c-6e17-430f-b307-6ff835bf2a96,-1.0,0.0,-1.0,1.0
5fc0ea40-2d4f-0136-be17-0242ac111511,-1.0,0.0,-1.0,1.0
fec34180-c83c-0135-7c04-0242ac115108,-1.0,0.0,-1.0,1.0
ccf7434f-7c37-4677-8bd2-53e129779174,-1.0,1.0,-2.0,2.0
ccf7434f-7c37-4677-8bd2-53e129779174,-1.0,1.0,-2.0,2.0
ccf7434f-7c37-4677-8bd2-53e129779174,-1.0,1.0,-2.0,2.0
ccf7434f-7c37-4677-8bd2-53e129779174,-1.0,1.0,-2.0,2.0
63350536-06be-4550-bfdc-5695ff8d418e,-6.0,0.0,-6.0,6.0
c8610240-1d5e-0135-d1ff-0242ac112606,-8.0,0.0,-8.0,8.0
d8ed2ed0-1540-0136-ed6c-0242ac111c06,-1.0,0.0,-1.0,1.0
76200c83-dcd3-4a7c-8f61-c4240018ef85,-180.0,0.0,-180.0,180.0
