parent_account_c,net_desks_closedwon,date
0010G00002J9HyGQAV,2.0,2018-08-06
0010G00002JcTqDQAV,1.0,2018-08-26
0010G00002CDcYSQA1,2.0,2018-08-14
0010G00002JBjYpQAL,1.0,2018-08-24
0010G00002CEAvNQAX,0.0,2018-08-06
0010G00002I7q5AQAR,2.0,2018-08-02
0010G00002CE1ogQAD,4.0,2018-08-09
0010G00002J9NzHQAV,4.0,2018-08-29
0010G00002JBe6DQAT,1.0,2018-08-07
0010G00002CDZTOQA5,0.0,2018-08-07
0010G00002CDZMtQAP,73.0,2018-08-14
0010G00002JAl5bQAD,59.0,2018-08-20
0010G00002J98n3QAB,3.0,2018-08-10
0010G00002J9nMqQAJ,1.0,2018-08-31
0010G00002FyGiyQAF,6.0,2018-08-21
0010G00002Jca75QAB,4.0,2018-08-29
0010G00002I7q2qQAB,1.0,2018-08-22
0010G00002CE3wcQAD,0.0,2018-08-06
0010G00002CDtvKQAT,0.0,2018-08-15
0010G00002JAFyRQAX,1.0,2018-08-06
0010G00002FzTxFQAV,0.0,2018-08-29
0010G00002I7qG2QAJ,1.0,2018-08-01
0010G00002CDiIBQA1,1.0,2018-08-08
0010G00002CDqajQAD,30.0,2018-08-16
0010G00002I7q9KQAR,1.0,2018-08-03
0010G00002I80VoQAJ,21.0,2018-08-29
0010G00002CE7YcQAL,7.0,2018-08-02
0010G00002JAXX8QAP,4420.0,2018-08-22
0010G00002HoCGxQAN,0.0,2018-08-07
0010G00002JCedgQAD,10.0,2018-08-21
0010G00002JABF1QAP,1.0,2018-08-31
0010G00002CDZUcQAP,847.0,2018-08-13
0010G00002CEDK1QAP,0.0,2018-08-10
0010G00002JC6THQA1,6.0,2018-08-15
0010G00002CDiugQAD,1.0,2018-08-31
0010G00002CDzjSQAT,0.0,2018-08-06
0010G00002CDt5NQAT,48.0,2018-08-13
0010G00002JccZvQAJ,1.0,2018-08-28
0010G00002JcsS9QAJ,4.0,2018-08-31
0010G00002JcpiZQAR,1.0,2018-08-30
0010G00002HnONSQA3,2.0,2018-08-17
0010G00002DuHDbQAN,1.0,2018-08-28
0010G00002CEJPVQA5,80.0,2018-08-23
0010G00002CDmYHQA1,6.0,2018-08-30
0010G00002GsWfrQAF,0.0,2018-08-28
0010G00002JclZmQAJ,42.0,2018-08-30
0010G00002CEHfNQAX,0.0,2018-08-31
0010G00002CEHoRQAX,5.0,2018-08-22
0010G00002JcaLCQAZ,1.0,2018-08-31
0010G00002CE83bQAD,32.0,2018-08-27
0010G00002JAXX8QAP,7140.0,2018-08-09
0010G00002J9VmkQAF,1.0,2018-08-10
0010G00002J91mYQAR,9.0,2018-08-28
0010G00002CDd2OQAT,10.0,2018-08-08
